"id" "day" "Dose" "LOGTV"
"724" 41 14 10 4.87704345337346
"725" 41 16 10 4.96117765335003
"726" 41 20 10 5.01475477725315
"727" 41 23 10 5.54185160750998
"728" 41 26 10 5.59640307376629
"729" 41 28 10 5.74907711523121
"730" 41 30 10 5.93111840073761
"731" 41 33 10 6.14386369389643
"732" 41 35 10 6.26297386030305
"733" 41 37 10 6.43582675566943
"734" 41 40 10 6.51531555088019
"735" 41 42 10 6.89013511258806
"736" 42 -14 10 3.89393317450782
"737" 42 -12 10 3.71725862102324
"738" 42 -9 10 4.81821238364354
"739" 42 -6 10 5.21175878034478
"740" 42 -2 10 5.74907711523121
"741" 42 0 10 5.79670016270308
"742" 42 2 10 5.78099321290213
"743" 42 5 10 6.19264848145477
"744" 42 7 10 5.42641004580579
"745" 42 9 10 5.91676422421338
"746" 42 12 10 5.82762909350718
"747" 42 14 10 6.0675760680462
"748" 42 16 10 6.00089842418995
"749" 42 20 10 6.34105840323713
"750" 42 23 10 6.5815723783499
"751" 42 26 10 6.7968408007832
"752" 42 28 10 6.84421315885865
"753" 42 30 10 7.02002390581201
"754" 42 33 10 7.238357284199
"755" 42 35 10 7.41303848190849
"756" 42 37 10 7.60265936919198
